"","Genotype","Type","Ploidy","Species","CCC_Group","Average_Tuber_Weight_(g)","Number_of_Tubers_per_plant","Total_Tuber_Yield_(kg_per_plant)","clust"
"622","BGVCOL_15061292","Type_Campo","Ploidy_Unknown","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",6.13333333333333,9.97450980392157,0.394500891265597,"2"
"623","BGVCOL_15061321","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",21.1,47,3.51666666666667,"5"
"624","BGVCOL_15061400","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",18,9.35,0.9,"4"
"625","BGVCOL_15061552","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",1.2,26.5,0.6,"4"
"626","BGVCOL_15061554","Type_Campo","Ploidy_Unknown","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",16.2,10.65,0.81,"4"
"627","BGVCOL_15061675","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. phureja","CCC_Group_CCC_Group_A",62.5,2.75,0.916666666666667,"3"
"628","BGVCOL_15061705","Type_Campo","Ploidy_Unknown","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",13.8,12.9,0.69,"4"
"629","BGVCOL_15061940","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14.8666666666667,19.2444444444444,1.22555555555556,"5"
"630","BGVCOL_15061943","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14.6,17.5,0.73,"4"
"631","BGVCOL_15061956","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",18.3,16.2,0.915,"4"
"632","BGVCOL_15061980","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. phureja","CCC_Group_CCC_Group_A",54.5,1.63,0.543333333333333,"1"
"633","BGVCOL_15061981","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. phureja","CCC_Group_CCC_Group_A",61.5,2.805,0.935,"3"
"634","BGVCOL_15061985","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. phureja","CCC_Group_CCC_Group_A",45,3.13,1.04333333333333,"1"
"635","BGVCOL_15061990","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. phureja","CCC_Group_CCC_Group_A",69,2.735,0.911666666666667,"3"
"636","BGVCOL_15061993","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. phureja","CCC_Group_CCC_Group_A",61.5,3.895,1.29833333333333,"3"
"637","BGVCOL_15061995","Type_Campo","Ploidy_Diploid","Solanum tuberosum subsp. phureja","CCC_Group_CCC_Group_A",88,2.02,0.673333333333333,"3"
